week_end,google_trends,ticker
2020-06-19,,SPY
2020-06-26,,SPY
2020-07-03,22.0,SPY
2020-07-10,,SPY
2020-07-17,,SPY
2020-07-24,,SPY
2020-07-31,,SPY
2020-08-07,19.0,SPY
2020-08-14,,SPY
2020-08-21,,SPY
2020-08-28,,SPY
2020-09-04,22.0,SPY
2020-09-11,,SPY
2020-09-18,,SPY
2020-09-25,,SPY
2020-10-02,18.0,SPY
2020-10-09,,SPY
2020-10-16,,SPY
2020-10-23,,SPY
2020-10-30,,SPY
2020-11-06,19.0,SPY
2020-11-13,,SPY
2020-11-20,,SPY
2020-11-27,,SPY
2020-12-04,18.0,SPY
2020-12-11,,SPY
2020-12-18,,SPY
2020-12-25,,SPY
2021-01-01,19.0,SPY
2021-01-08,,SPY
2021-01-15,,SPY
2021-01-22,,SPY
2021-01-29,,SPY
2021-02-05,19.0,SPY
2021-02-12,,SPY
2021-02-19,,SPY
2021-02-26,,SPY
2021-03-05,21.0,SPY
2021-03-12,,SPY
2021-03-19,,SPY
2021-03-26,,SPY
2021-04-02,18.0,SPY
2021-04-09,,SPY
2021-04-16,,SPY
2021-04-23,,SPY
2021-04-30,,SPY
2021-05-07,18.0,SPY
2021-05-14,,SPY
2021-05-21,,SPY
2021-05-28,,SPY
2021-06-04,16.0,SPY
2021-06-11,,SPY
2021-06-18,,SPY
2021-06-25,,SPY
2021-07-02,18.0,SPY
2021-07-09,,SPY
2021-07-16,,SPY
2021-07-23,,SPY
2021-07-30,,SPY
2021-08-06,16.0,SPY
2021-08-13,,SPY
2021-08-20,,SPY
2021-08-27,,SPY
2021-09-03,18.0,SPY
2021-09-10,,SPY
2021-09-17,,SPY
2021-09-24,,SPY
2021-10-01,16.0,SPY
2021-10-08,,SPY
2021-10-15,,SPY
2021-10-22,,SPY
2021-10-29,,SPY
2021-11-05,17.0,SPY
2021-11-12,,SPY
2021-11-19,,SPY
2021-11-26,,SPY
2021-12-03,21.0,SPY
2021-12-10,,SPY
2021-12-17,,SPY
2021-12-24,,SPY
2021-12-31,,SPY
2022-01-07,28.0,SPY
2022-01-14,,SPY
2022-01-21,,SPY
2022-01-28,,SPY
2022-02-04,29.0,SPY
2022-02-11,,SPY
2022-02-18,,SPY
2022-02-25,,SPY
2022-03-04,24.0,SPY
2022-03-11,,SPY
2022-03-18,,SPY
2022-03-25,,SPY
2022-04-01,21.0,SPY
2022-04-08,,SPY
2022-04-15,,SPY
2022-04-22,,SPY
2022-04-29,,SPY
2022-05-06,31.0,SPY
2022-05-13,,SPY
2022-05-20,,SPY
2022-05-27,,SPY
2022-06-03,30.0,SPY
2022-06-10,,SPY
2022-06-17,,SPY
2022-06-24,,SPY
2022-07-01,24.0,SPY
2022-07-08,,SPY
2022-07-15,,SPY
2022-07-22,,SPY
2022-07-29,,SPY
2022-08-05,26.0,SPY
2022-08-12,,SPY
2022-08-19,,SPY
2022-08-26,,SPY
2022-09-02,28.0,SPY
2022-09-09,,SPY
2022-09-16,,SPY
